staker,lp,stt,ste,faction
terra1u6r30...vj5w,231.010963,0,288.76370375,degens
terra1ue60z...k747,1.051968,0,1.3149600000000001,degens
terra1uew75...0al7,2.080428,0,2.600535,degens
terra1uc7em...03wt,2,0,2.5,degens
terra1uculy...p8j0,0.000421,0,0.00052625,degens
terra1ucnpu...jjd7,19.877306,0,24.846632500000002,degens
terra1uc28w...j3dj,358.257812,0,447.822265,degens
terra1ucrv7...ser5,3462.55552,0,4328.1944,degens
terra1ucqtj...6a3h,472.515698,0,590.6446225,degens
terra1uhef7...9xyy,2.376772,0,2.9709649999999996,degens
terra1uk6mv...wy3d,6368.2,0,7960.25,degens
terra1ukwut...ydqr,1.046878,0,1.3085974999999999,degens
terra1ukwjr...w4d9,0.000222,0,0.0002775,degens
terra1u4emg...fn6p,121.920772,0,152.40096499999999,degens
terra1u4e8n...7qeh,0.631581,0,0.7894762499999999,degens
terra1u4vqy...ng3e,14.508185,0,18.13523125,degens
terra1u4yne...44c4,0.020755,0,0.025943749999999998,degens
terra1u508l...tkt8,31.574048,0,39.46756,degens
terra1u5fst...egy0,46.783242,0,58.4790525,degens
terra1u5gwg...vmf9,351.237245,0,439.04655625,degens
terra1unlp4...e3r6,0.195311,0,0.24413875000000002,degens
terra1un652...dxsc,2.01168,0,2.5146,degens
terra1un4dg...0f4d,2.010645,0,2.51330625,degens
terra1ujtxp...es34,0.199817,0,0.24977125,degens
terra1u376x...a806,240.32743,0,300.4092875,degens
terra1u3ecu...nn43,1.250745,0,1.56343125,degens
terra1u3e36...6hqd,159.575747,0,199.46968375,degens
terra1u3ske...rpuq,5.184903,0,6.48112875,degens
terra1u3dh7...y0mt,30.148932,0,37.686164999999995,degens
terra1usazz...zgkm,49.22129,0,61.526612500000006,degens
terra1usef0...xh84,1.911278,0,2.3890975,degens
terra1usnva...gdwy,195.412043,0,244.26505375000002,degens
terra1us33k...cdfm,99.54974,0,124.437175,degens
terra1usvh8...geld,24.765717,0,30.957146249999997,degens
terra1usrys...rnc5,13.991806,0,17.4897575,degens
terra1uspql...r03f,276.210561,0,345.26320124999995,degens
terra1usqrz...d45r,4.632869,0,5.79108625,degens
terra1u0l9s...nc6x,128.271607,0,160.33950875,degens
terra1u0sgh...4598,0.000021,0,0.000026249999999999998,degens
terra1u0ftl...5kt9,5.835968,0,7.2949600000000006,degens
terra1uwuzj...vg83,0.000422,0,0.0005275,degens
terra1uwh3l...lyns,70.839836,0,88.549795,degens
terra1uwjf5...6uz2,1649.8,0,2062.25,degens
terra1uw39v...nk23,578.45849,0,723.0731125,degens
terra1udjds...788h,1.063958,0,1.3299474999999998,degens
terra1udxpj...0avq,31.395258,0,39.2440725,degens
terra1udyxp...5adt,2.159559,0,2.6994487499999997,degens
terra1uva0l...m9nw,1.854629,0,2.31828625,degens
terra1uva8p...h8rc,40.269045,0,50.33630625,degens
terra1uvkuv...x395,2.111733,0,2.6396662500000003,degens
terra1uv9d4...wl7y,34.125754,0,42.6571925,degens
terra1ut4rw...ewmf,6.584565,0,8.230706249999999,degens
terra1utvuj...k88a,18.955339,0,23.694173749999997,degens
terra1u2ajl...a8k9,0.020664,0,0.02583,degens
terra1u269t...cfyv,2.033044,0,2.541305,degens
terra1u2xf8...2urd,0.399266,0,0.4990825,degens
terra1u2p3f...mkhj,2.2553,0,2.819125,degens
terra1ufkc4...jgjc,53.039466,0,66.29933249999999,degens
terra1uf29g...akuv,1,0,1.25,degens
terra1ufp63...mcyv,0.020661,0,0.02582625,degens
terra1ugeag...v9rw,173.8614,0,217.32675,degens
terra1ugc4j...tlu7,0.097564,0,0.121955,degens
terra1ug46d...clhm,0.042858,0,0.0535725,degens
terra1ug9ly...qv29,71.464935,0,89.33116874999999,degens
terra1u8ad6...ftpa,0.109305,0,0.13663125,degens
terra1u8cqh...hc8m,0.416426,0,0.5205325000000001,degens
terra1u8nrh...pzjt,0.238192,0,0.29774,degens
terra1u8sdj...j9cy,34.42953,0,43.0369125,degens
terra1u8rd6...3gw0,6356.26166,0,7945.327075,degens
terra1uxamz...7vfe,21.303867,0,26.62983375,degens
terra1uxg7v...m3xz,2.028674,0,2.5358425,degens
terra1uxpz2...s7pn,51.338771,0,64.17346375,degens
terra1u9lkn...y5rv,1206.388473,0,1507.98559125,degens
terra1u9h5l...ca6c,83.678819,0,104.59852375,degens
terra1u9pkr...lg2k,0.198107,0,0.24763375,degens
terra1u9p0c...eupc,1,0,1.25,degens
terra1uyu63...rkkn,2.60972,0,3.2621499999999997,degens
terra1uys5c...0wn5,5.71041,0,7.1380125,degens
terra1uy05q...470l,2.050891,0,2.56361375,degens
terra1uyytm...fekz,90,0,112.5,degens
terra1urn4h...lg2v,0.452348,0,0.5654349999999999,degens
terra1urpw7...fckp,67.119207,0,83.89900875000001,degens
terra1uzcaf...g5u9,0.82,0,1.025,degens
terra1uzc4u...w9d9,0.341049,0,0.42631125,degens
terra1uzyew...mahk,180,0,225,degens
terra1uppjc...6zrf,0.038765,0,0.04845625,degens
terra1uq4ks...qr57,2.076919,0,2.5961487500000002,degens
terra1uq9ak...mz99,1090.893933,0,1363.6174162500001,degens
terra1m79s6...nx3z,1.628897,0,2.03612125,degens
terra1malqy...2szx,0.815735,0,1.01966875,degens
terra1mauvw...85up,24.962771,0,31.20346375,degens
terra1mas4j...dxxm,29,0,36.25,degens
terra1madru...z0c5,113.109059,0,141.38632375,degens
terra1ma8jq...jlpy,124912.05613,0,156140.0701625,degens
terra1ma8x4...qftj,2.334461,0,2.9180762500000004,degens
